Paper,Lat,Long,Study,Site,Pathway,Mean_rate,errorbar_values,error_reported,sample_size,Wetland_type_reported,Wetland_type,Inc_temp,Inc_length_days,Depth_cm,Depth_representative,Salinity_ppt,Salinity_cat,dom_veg,method,labeled_substrate,subpathway,Potential
Moore and Dalva 1997,49_3N,80_40W,31,66,Aerobic methane oxidation,0.499,NA,NA,3,Forested bog ,Bog,20,5,35,35,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_3N,80_40W,31,66,Aerobic methane oxidation,0.81,NA,NA,3,Forested bog ,Bog,20,5,45,45,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_3N,80_40W,31,66,Aerobic methane oxidation,0.499,NA,NA,3,Forested bog ,Bog,20,5,55,55,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_10N,82_45W,31,67,Aerobic methane oxidation,3.117,NA,NA,3,Bog hollow,Bog,20,5,5,5,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_10N,82_45W,31,67,Aerobic methane oxidation,3.429,NA,NA,3,Bog hollow,Bog,20,5,15,15,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_10N,82_45W,31,67,Aerobic methane oxidation,4.364,NA,NA,3,Bog hollow,Bog,20,5,22,22,NA,low,NA,shaken soil slurry ,NA,NA,YES
Moore and Dalva 1997,49_10N,82_45W,31,67,Aerobic methane oxidation,2.805,NA,NA,3,Bog hollow,Bog,20,5,30,30,NA,low,NA,shaken soil slurry ,NA,NA,YES
Krumholz et al 1995,42_27.62N,71_20.93W,33,69,Aerobic methane oxidation,0.558,NA,NA,4,peatland,Bog,24,2,2,2,NA,low,NA,soil slurry,NA,NA,YES
Krumholz et al 1995,42_27.62N,71_20.93W,33,69,Aerobic methane oxidation,1.368,NA,NA,4,peatland,Bog,24,2,5,5,NA,low,NA,soil slurry,NA,NA,YES
Krumholz et al 1995,42_27.62N,71_20.93W,33,69,Aerobic methane oxidation,0.87,NA,NA,4,peatland,Bog,24,2,8,8,NA,low,NA,soil slurry,NA,NA,YES
Dan et al 2001,45_20N,8_25E,34,70,Aerobic methane oxidation,8.4,yes_later,SE,4,rice paddy,Paddy,25,NA,0-3,1.5,NA,NA,Oryza sp.,shaken soil slurry ,NA,NA,YES
Bender and Conrad 1994,45_20N,8_25E,35,71,Aerobic methane oxidation,5.04,yes_later,NA,NA,rice paddy,Paddy,25,NA,0-10,5,NA,NA,Oryza sp.,soil slurry,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,11.6,yes_later,SD,3,rice paddy,Paddy,25,3,NA,NA,0.384,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,11.7,yes_later,SD,3,rice paddy,Paddy,25,3,NA,NA,3.072,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,14.1,yes_later,SD,3,rice paddy,Paddy,25,3,NA,NA,6.016,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,8,yes_later,SD,3,rice paddy,Paddy,25,7,NA,NA,0.384,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,5,yes_later,SD,3,rice paddy,Paddy,25,7,NA,NA,3.072,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,3.8,yes_later,SD,3,rice paddy,Paddy,25,7,NA,NA,6.016,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Ho et al 2018,45_20N,8_25E,36,72,Aerobic methane oxidation,4.1,yes_later,SD,3,rice paddy,Paddy,25,7,NA,NA,17.92,yes_later,Oryza sp.,shaken soil slurry ,NA,NA,YES
Whalen and Reeburgh 1996 ,64_51N,147_44W,37,75,Aerobic methane oxidation,0.4324,NA,NA,2,Bog,Bog,5,NA,20-30,25,NA,low,NA,soil slurry,NA,NA,YES
Whalen and Reeburgh 1996 ,64_51N,147_44W,37,75,Aerobic methane oxidation,0.6209,NA,NA,2,Bog,Bog,10,NA,20-30,25,NA,low,NA,soil slurry,NA,NA,YES
Whalen and Reeburgh 1996 ,64_51N,147_44W,37,75,Aerobic methane oxidation,0.9725,NA,NA,2,Bog,Bog,15,NA,20-30,25,NA,low,NA,soil slurry,NA,NA,YES
Whalen and Reeburgh 1996 ,64_51N,147_44W,37,75,Aerobic methane oxidation,1.167,NA,NA,2,Bog,Bog,20,NA,20-30,25,NA,low,NA,soil slurry,NA,NA,YES
Whalen and Reeburgh 1996 ,64_51N,147_44W,37,75,Aerobic methane oxidation,1.2718,NA,NA,2,Bog,Bog,28,NA,20-30,25,NA,low,NA,soil slurry,NA,NA,YES
Whalen and Reeburgh 1996 ,64_51N,147_44W,37,75,Aerobic methane oxidation,1.0773,NA,NA,3,Bog,Bog,34,NA,20-30,25,NA,low,NA,soil slurry,NA,NA,YES
Gauthier et al 2015,57_02.17N,2_14.00W,39,77,Aerobic methane oxidation,10,yes_later,SEM,18,peatland,Bog,20,2,NA,NA,NA,low,Sphagnum sp.,13C pool dilution,NA,NA,YES
Blazewicz et al 2012,18_18N,65_48S,1,1,Anaerobic methane oxidation,0.0029,0.0005,SE,4,wet tropical forest,Swamp,25,80,0-15,7.5,NA,NA,Cyrilla racemiflora,"13C tracer, soil slurry",NA,NA,YES
Blazewicz et al 2012,64_48N,147_54W,1,2,Anaerobic methane oxidation,0.021,0.002,SE,5,Fen,Fen,25,80,0-15,7.5,NA,low,NA,"13C tracer, soil slurry",NA,NA,YES
Wang et al 2022,36_55N,117_31E,9,19,Anaerobic methane oxidation,0.0024,0.0005,SE,3,River delta estuary ,Marsh,30,5,20-Oct,15,1.72,med,Suaeda glauca,soil slurry ,NO3,Nitrate-dependent,YES
Wang et al 2022,36_55N,117_31E,9,20,Anaerobic methane oxidation,0.0024,0.0005,SE,3,River delta estuary ,Marsh,30,5,20-Oct,15,1.005,low,Unidentified reed,soil slurry ,NO3,Nitrate-dependent,YES
Wang et al 2022,36_55N,117_31E,9,21,Anaerobic methane oxidation,0.0022,0.0005,SE,3,River delta estuary ,Marsh,30,5,20-Oct,15,1.625,med,Tamarix sp.,soil slurry ,NO3,Nitrate-dependent,YES
